"Reference","Value","Footprint","Datasheet","DNF","Extended Part Cost","JLC code","JLCPCB Part #","Part name","cost per unit","Qty"
"B1","battery holder","JLCPartFootprints:BATTERY-SMD_18650-1S-L77.1-W20.7-1","~","X","0","C2988620","C2988620","BH-18650-B1BA002","0","1"
"C1-C4","10u","JLCPartFootprints:C0603","~","","0","C19702","C19702","CL10A106KP8NNNC","0,0066","4"
"C5","100n","JLCPartFootprints:C0402","~","","0","C1525","C1525","CL05B104KO5NNNC","0.0011","1"
"C6","1u","JLCPartFootprints:C0402","~","","0","C52923","C52923","CL05A105KA5NQNC","0,0039","1"
"C7, C8","33pF","JLCPartFootprints:C0402","~","","0","C1570","C1570","0402CG300J500NT","0.0010","2"
"D2","LED_green","JLCPartFootprints:LED0603-RD","~","","0","C72043","C72043","19-217/GHC-YR1S2/3T","0.0264","1"
"D3","LED_red","JLCPartFootprints:LED0603-RD","~","","0","C2286","C2286","KT-0603R","0.0054","1"
"D4, D5","LED_white","JLCPartFootprints:LED0805-R-RD","~","","0","C34499","C34499","C34499","0.0157","2"
"J1, J2","01x02_male_header","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","X","0","","","","0","2"
"J3","STM32F051C6_female_header","CustomFootprints:STM32F051C6_female_header","","X","0","","","","0","1"
"J4","STM32F051C6_testpoints","CustomFootprints:STM32F051C6_testpoints","","X","0","","","","0","1"
"J5","STM-link_debugger","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","X","0","","","","0","1"
"J6","01x10_male_header","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","X","0","","","","0","1"
"JP1-JP4","01x02_male_header_jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","X","0","","","","0","4"
"JP5, JP6","01x03_male_header_jumper","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","X","0","","","","0","2"
"Q1, Q3-Q8, Q90","AO3401A","JLCPartFootprints:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","0","C15127","C15127","AO3401A","0,07965","8"
"Q2","AO3400A","JLCPartFootprints:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://ngspice.sourceforge.io/docs/ngspice-manual.pdf","","0","C20917","C20917","AO3400A","","1"
"R1, R2, R5, R6, R15, R16, R18-R21, R23-R27, R29-R37, R40-R48, R53-R58, R61, R120, R400, R700","0","JLCPartFootprints:R0603","~","","0","C21189","C21189","0603WAF0000T5E","0,0010","43"
"R3, R9, R11, R14, R17, R22, R38, R39","1.2k","JLCPartFootprints:R0805","~","","0","C17630","C17630","0805W8F3300T5E","0,0016","8"
"R28","100k","JLCPartFootprints:R1206","~","","0","C17900","C17900","1206W4F1003T5E","0,0031","1"
