Designator,Footprint,Quantity,Value,LCSC Part #
B1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,1,battery holder,DNP
"C1, C2, C3, C4",C0603,4,10u,
C5,C0402,1,100n,
C6,C0402,1,1u,
"C7, C8",C0402,2,33pF,
D2,LED0603-RD,1,LED_green,
D3,LED0603-RD,1,LED_red,
"D4, D5",LED0805-R-RD,2,LED_white,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,01x02_male_header,DNP
J3,STM32F051C6_female_header,1,STM32F051C6_female_header,DNP
J4,STM32F051C6_testpoints,1,STM32F051C6_testpoints,DNP
J5,PinHeader_1x03_P2.54mm_Vertical,1,STM-link_debugger,DNP
J6,PinHeader_1x10_P2.54mm_Vertical,1,01x10_male_header,DNP
"JP1, JP2, JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,4,01x02_male_header_jumper,DNP
"JP5, JP6",PinHeader_1x03_P2.54mm_Vertical,2,01x03_male_header_jumper,DNP
"Q1, Q3, Q4, Q5, Q6, Q7, Q8, Q90",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,8,AO3401A,
Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,
"R1, R120, R15, R18, R20, R23, R26, R27, R31, R32, R33, R34, R35, R36, R37, R40, R400, R41, R42, R43, R44, R45, R46, R47, R48, R53, R54, R55, R56, R57, R58, R61, R700",R0603,33,0,
"R100, R620",R0805,2,100k,
"R11, R14, R17, R22, R3, R38, R39, R9",R0805,8,1.2k,
R130,R0805,1,470k,
"R16, R19, R2, R21, R24, R25, R29, R30",R0603,8,0,DNP
R28,R1206,1,100k,
"R49, R59",R0805,2,10k,
"R50, R51",R0402,2,3.9k,
R52,R0402,1,8.2k,
"R60, R800",R0603,2,20k,
RV1,RES-ADJ-TH_RK09K1130AJ3,1,R_Potentiometer,
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,Reset switch,
"SW2, SW3, SW4",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,3,Switch,
TH1,R0402,1,Thermistor,
TP1,Testpoint,1,5v,
TP10,Testpoint,1,Light Interrupt,
TP11,Testpoint,1,LED 1,
TP12,Testpoint,1,LED 2,
TP13,Testpoint,1,Switch 1,
TP14,Testpoint,1,Switch 2,
TP15,Testpoint,1,Switch 3,
TP16,Testpoint,1,uc Tx,
TP17,Testpoint,1,uc Rx,
TP18,Testpoint,1,Plug Detect,
TP19,Testpoint,1,EEPROM SDA,
TP2,Testpoint,1,UVLO,
TP20,Testpoint,1,EEPROM SCL,
TP21,Testpoint,1,USB D-,
TP22,Testpoint,1,USB D+,
TP3,Testpoint,1,battery charger,
TP4,Testpoint,1,3.3v out,
TP5,Testpoint,1,reverse polarity ,
TP6,Testpoint,1,Pot ADC,
TP7,Testpoint,1,Sensors SDA,
TP8,Testpoint,1,Sensors SCL,
TP9,Testpoint,1,Therm ADC,
U1,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,1,LMS33460MG_NOPB,
U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,Battery Charger,
U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206PxxxMR,
U5,DFN-6_L2.0-W2.0-P0.50-BL-EP,1,GXHTC3,
U6,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,1,LTR-303ALS-01,
U7,PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL,1,24LC256,
U8,MICRO-USB-SMD_MICROXNJ,1,usb,
U9,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,HT42B534-2,
Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,1,Crystal,
